1.treedepth__,2.treedepth__,3.treedepth__,4.treedepth__,5.treedepth__,6.treedepth__,1.divergent__,2.divergent__,3.divergent__,4.divergent__,5.divergent__,6.divergent__,1.energy__,2.energy__,3.energy__,4.energy__,5.energy__,6.energy__,1.accept_stat__,2.accept_stat__,3.accept_stat__,4.accept_stat__,5.accept_stat__,6.accept_stat__,1.stepsize__,2.stepsize__,3.stepsize__,4.stepsize__,5.stepsize__,6.stepsize__,1.n_leapfrog__,2.n_leapfrog__,3.n_leapfrog__,4.n_leapfrog__,5.n_leapfrog__,6.n_leapfrog__
7,7,7,7,7,7,0,0,0,0,0,0,9066.54,8993.36,9056.31,9052.48,9219.22,9026.41,0.870267,0.82756,0.916307,0.673937,0.820773,0.656191,0.0347124,0.0373235,0.0329432,0.0364974,0.0325814,0.0350988,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,9131.08,8964.64,9077.71,9085.04,9180.43,9102.75,0.963618,0.768056,0.887549,0.856583,0.898677,0.849415,0.0347124,0.0373235,0.0329432,0.0364974,0.0325814,0.0350988,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,9055.09,9066.12,9103.2,9117.47,9101.94,9143.81,0.98058,0.761931,0.974067,0.84245,0.895803,0.38738,0.0347124,0.0373235,0.0329432,0.0364974,0.0325814,0.0350988,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,8927.88,9037.09,9102.53,9124.84,9032.84,9130.35,0.979772,0.658079,0.995547,0.934361,0.778975,0.842643,0.0347124,0.0373235,0.0329432,0.0364974,0.0325814,0.0350988,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,9006.26,9041.83,9071.94,9023.65,9089.92,9060.81,0.700794,0.611259,0.826138,0.912954,0.880388,0.942021,0.0347124,0.0373235,0.0329432,0.0364974,0.0325814,0.0350988,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,8967.69,9037.27,9150.17,9076.12,8977.87,9129.37,0.901473,0.998109,0.856862,0.873285,0.888783,0.762462,0.0347124,0.0373235,0.0329432,0.0364974,0.0325814,0.0350988,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,9043.43,8909.41,9142.66,9053.94,9018.76,9035,0.92654,0.903243,0.936904,0.906882,0.863261,0.999799,0.0347124,0.0373235,0.0329432,0.0364974,0.0325814,0.0350988,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,9070.82,8943.4,9226.85,9037.57,8964.12,9014.16,0.804121,0.723641,0.840092,0.650375,0.990496,0.648517,0.0347124,0.0373235,0.0329432,0.0364974,0.0325814,0.0350988,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,9019.26,8949.31,9285.76,9064.15,9034.58,9034.07,0.967573,0.739022,0.935085,0.914298,0.966445,0.947678,0.0347124,0.0373235,0.0329432,0.0364974,0.0325814,0.0350988,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,9129.29,9018.17,9152.65,9054.46,8951.49,9028.62,0.795859,0.877024,0.96589,0.963327,0.97914,0.689633,0.0347124,0.0373235,0.0329432,0.0364974,0.0325814,0.0350988,127,127,127,127,127,127
