group_name,group_id,n_galaxies
4.0_intermediate_mass_red_sequence_intermediate_proxy_below_ms,164,3
1.0_low_mass_blue_cloud_intermediate_proxy_main_sequence,165,3
1.0_intermediate_mass_unknown_intermediate_proxy_starburst,166,5
4.0_high_mass_unknown_intermediate_proxy_below_ms,167,2
0.0_intermediate_mass_blue_cloud_intermediate_proxy_below_ms,168,1
2.0_intermediate_mass_red_sequence_intermediate_proxy_starburst,169,1
1.0_low_mass_red_sequence_intermediate_proxy_starburst,170,3
4.0_low_mass_unknown_early_type_proxy_below_ms,171,1
3.0_high_mass_blue_cloud_intermediate_proxy_main_sequence,172,1
0.0_low_mass_red_sequence_intermediate_proxy_starburst,173,2
0.0_intermediate_mass_red_sequence_late_type_proxy_main_sequence,174,1
2.0_intermediate_mass_blue_cloud_intermediate_proxy_below_ms,175,1
3.0_low_mass_blue_cloud_intermediate_proxy_main_sequence,176,1
0.0_high_mass_red_sequence_intermediate_proxy_starburst,177,2
1.0_intermediate_mass_red_sequence_intermediate_proxy_starburst,178,2
nan_intermediate_mass_blue_cloud_intermediate_proxy_starburst,179,1
2.0_high_mass_green_valley_intermediate_proxy_main_sequence,180,1
0.0_low_mass_blue_cloud_intermediate_proxy_main_sequence,181,1
0.0_high_mass_red_sequence_intermediate_proxy_below_ms,182,1
1.0_high_mass_red_sequence_intermediate_proxy_below_ms,183,2
0.0_intermediate_mass_green_valley_late_type_proxy_below_ms,184,1
1.0_high_mass_green_valley_intermediate_proxy_main_sequence,185,1
