PGC,RA_HEC,DEC_HEC,F_ASTROM,D_v2,E_D_v2,logSFR_HECv2,logSFR_HECv2_origin,logSFR_HECv2_method,logM_star_HECv2,logM_star_HECv2_origin,logM_star_HECv2_method,Metal_v2,Metal_v2_method,U_v2,G_v2,R_v2,I_v2,Z_v2,Y_v2,U_E_v2,G_E_v2,R_E_v2,I_E_v2,Z_E_v2,Y_E_v2,Optical_phot_origin_v2,Optical_phot_QF_v2,Activity_class,Activity_class_method,SFG_prob_v2,AGN_prob_v2,LIN_prob_v2,COMP_prob_v2,PASS_prob_v2,Duplication_flag,Blending_flag,Star_contamination,WC_notes,Notes,logSFR_total,SFR_total,logM_total,M_total,sSFR,logsSFR,ID
5147,21.035583,9.930556,0,36.9989,5.9667,-0.9386115715472394,L19,FUV+WISE4,9.51138842845276,L19,SSFRLIKE,8.62835960747903,MZ/C20,16.03318,14.73497,14.08209,13.73266,13.50225,,0.01642579,0.002604781,0.002516022,0.002643966,0.006398283,,SSSSSM,111112,0.0,PH,0.3280232914060075,0.23163373231457784,0.07622339823387986,0.3062183640287955,0.057901214016739366,,,,,,-0.9386115715472394,0.11518301132224122,9.51138842845276,3.2462983308224425E9,3.5481338923357626E-11,-10.45,18876
5148,21.033633,9.551708,0,36.145525793906145,9.404081,-0.023023766303430962,L19,FUV+WISE4,9.956976233696569,L19,FIXEDUL,8.713552698794567,MZ/C20,15.58882,13.87309,13.15206,12.80476,12.41048,12.6138000488281,0.009791325,0.002023485,0.001895276,0.001891492,0.002867715,0.00139200000558048,SSSSSP,111111,,,,,,,,,,,,,-0.023023766303430962,0.9483665635297072,9.956976233696569,9.05683037001497E9,1.0471285480509E-10,-9.98,18882
5161,21.073323,9.330848,0,39.665096430995156,10.067269,-0.9113950988615894,L19,FUV+WISE4,10.298604901138411,L19,SSFRLIKE,8.75443611317902,MZ/C20,15.30160903930664,13.802659034729004,12.844545364379883,12.3606538772583,12.276338577270508,12.1571998596191,0.026406140998005867,0.007345392368733883,0.0020334296859800816,0.005101932678371668,0.006281500682234764,8.66000016685575E-4,NNNNNP,111111,,,,,,,,,,,,,-0.9113950988615894,0.12263230776400579,10.298604901138411,1.988863149940927E10,6.165950018614815E-12,-11.21,18942
5194,21.142584,16.536944,0,33.5927,5.1716,-1.1554619432283242,L19,FUV+WISE4,8.774538056771675,L19,SSFRLIKE,8.441076586464494,MZ/C20,16.80106,15.56448,15.1892,14.96496,14.86379,15.2061004638672,0.0236908,0.004517658,0.00578544,0.01335414,0.03309287,0.00631699990481138,SSSSSP,111111,0.0,PH,0.5397679500380841,0.1891066638202714,0.1316190722186831,0.05332336903793872,0.08618294488502261,,,,,,-1.1554619432283242,0.06990979953048015,8.774538056771675,5.95028896234942E8,1.1748975549395315E-10,-9.93,19100
5208,21.101745,3.882189,0,31.141376040547048,8.458946,,,,7.726422696499992,K23,u_r_SDSSDR17_noEBV,8.150619259591684,MZ/C20,16.43494987487793,15.845672607421875,15.470673561096191,15.071659088134766,14.76919174194336,,0.19919270277023315,0.017345665022730827,0.01925572380423546,0.0650128424167633,0.19284790754318237,,NNNNNM,111112,,,,,,,,,,,,,,,7.726422696499992,5.32626409509472E7,,,19126
140374,221.837571,48.901295,0,37.63353482641467,9.684607,-0.8847465767867592,L19,WISE4,8.885253423213241,L19,W4W1,8.456703700493984,O3N2/C20,15.90301,14.9851,14.59171,14.39075,14.24007,14.2755002975464,0.005438374,0.002280027,0.002270749,0.00236513,0.004354731,0.00179100001696497,SSSSSP,111111,0.0,SoDDA,1.0,0.0,0.0,0.0,,,,,,,-0.8847465767867592,0.1303927435335662,8.885253423213241,7.678093973414898E8,1.6982436524617437E-10,-9.77,19145
5218,21.190962,9.994309,0,34.3181,6.4789,-0.1749502773791845,L19,FUV+WISE4,10.735049722620817,L19,SSFRLIKE,8.779841693590043,MZ/C20,14.460990905761719,13.533429145812988,12.598523139953613,12.113642692565918,11.600854873657227,,0.03102075308561325,0.004659717436879873,0.0037061211187392473,0.004696362651884556,0.012262084521353245,,NNNNNM,111112,,,,,,,,,,,,,-0.1749502773791845,0.6684204410221916,10.735049722620817,5.433125320907042E10,1.2302687708123784E-11,-10.910000000000002,19186
134360,328.833613,-25.002883,1,35.85303887852749,9.3488865,-0.01596661716533783,L19,WISE4,8.934033382834661,L19,FIXEDUL,8.484008788277066,MZ/C20,,18.63382885812033,18.745141126474373,18.925729428394103,18.68553374274648,19.3356990814209,,0.008669072261498057,0.013234110477966018,0.017388702568841435,0.027858747524458844,0.0682249963283539,MPPPPP,211111,,,,,,,,,4080503,,,,-0.01596661716533783,0.9639031129410558,8.934033382834661,8.590795536787517E8,1.122018454301966E-9,-8.95,19235
5242,21.284662,3.613868,1,32.39669962606166,8.696225,,,,8.223418117749235,K23,u_r_SDSSDR17_noEBV,8.289251810644041,MZ/C20,17.5827,16.14008,15.81503,15.54712,15.95249,,0.0365672,0.01287448,0.01730844,0.0196883,0.08322635,,SSSSSM,111112,,,,,,,,,,,,,,,8.223418117749235,1.6727002343425277E8,,,19284
52336,219.690356,51.317906,1,36.367449957926475,9.445904,-0.4936596465380648,L19,FUV+WISE4,11.406340353461935,L19,SSFRLIKE,8.790824879295418,MZ/C20,24.63467,15.07825,14.11591,13.17332,16.28696,,33.16637,0.003609043,0.002488139,0.002165033,0.01480735,,SSSSSM,000002,,,,,,,,,,,,,-0.4936596465380648,0.32087830395765093,11.406340353461935,2.5488269674400244E11,1.2589254117941665E-12,-11.9,19297
5264,21.322194,9.264056,0,31.9303,5.0879,-0.6218034152745076,L19,FUV+WISE4,10.168196584725493,L19,SSFRLIKE,8.74139792887997,MZ/C20,15.26783,13.50348,12.51996,11.97444,11.56885,11.9429998397827,0.01167215,0.001975379,0.001769125,0.001726847,0.002240125,7.28000013623387E-4,SSSSSP,111111,,,,,,,,,,,,,-0.6218034152745076,0.23888923776553017,10.168196584725493,1.4729791000472528E10,1.6218100973589282E-11,-10.790000000000001,19361
52853,221.982903,-14.28581,0,34.0147,5.4031,-0.6480734881761383,L19,WISE4,9.711926511823862,L19,W4W1,8.670715265541835,MZ/C20,,11.92176739185624,13.538241345250562,13.589336567644432,14.745952979560535,14.315299987793,,1.2989230024304237E-4,3.2591391012513096E-4,0.00108976071385273,0.004223677185297348,0.00380200007930398,MPPPPP,211111,,,,,,,,,,,,,-0.6480734881761383,0.22486740692527923,9.711926511823862,5.1514146868689E9,4.36515832240166E-11,-10.36,19388
