PGC,RA_HEC,DEC_HEC,F_ASTROM,D_v2,E_D_v2,logSFR_HECv2,logSFR_HECv2_origin,logSFR_HECv2_method,logM_star_HECv2,logM_star_HECv2_origin,logM_star_HECv2_method,Metal_v2,Metal_v2_method,U_v2,G_v2,R_v2,I_v2,Z_v2,Y_v2,U_E_v2,G_E_v2,R_E_v2,I_E_v2,Z_E_v2,Y_E_v2,Optical_phot_origin_v2,Optical_phot_QF_v2,Activity_class,Activity_class_method,SFG_prob_v2,AGN_prob_v2,LIN_prob_v2,COMP_prob_v2,PASS_prob_v2,Duplication_flag,Blending_flag,Star_contamination,WC_notes,Notes,logSFR_total,SFR_total,logM_total,M_total,sSFR,logsSFR,ID
938075,54.349791,-13.432389,0,0.9162681102752686,0.5340572,,,,,,,,,,16.084270429094563,16.27722219348513,15.401328761163555,15.696633113059857,16.656099319458,,0.003739113730656012,0.004412372901157874,0.003268272278539718,0.008952907165804267,0.014554999768734,MPPPPP,211111,,,,,,,,,,,,,,,,,,,4869
4079791,236.924455,-24.021754,0,0.9162681102752686,0.5340572,,,,5.588975448792711,K23,g_r_PSDR2_noEBV,7.552312637537478,MZ/C20,,17.853185900936197,16.80149085604274,16.334745777926976,16.082947761673417,16.1028995513916,,0.003624094405555767,0.0015493445903783664,0.001324074448197708,0.002300161860217961,0.00466400012373924,MPPPPP,211111,,,,,,,,,,,,,,,5.588975448792711,388128.4239878415,,,5023
1421023,206.004188,13.018315,0,1.79643963506163,2.8626747,-3.4049617574514044,K23,noEBV,6.443228079070278,K23,g_r_PSDR2_noEBV,7.791498690554173,MZ/C20,18.31042,17.10798,16.85907,16.80875,16.63678,15.0373001098633,0.02489912,0.005867553,0.006523096,0.007622401,0.01877338,0.00319699989631772,SSSSSP,000001,,,,,,,,,,,,,-3.4049617574514044,3.935847317113244E-4,6.443228079070278,2774776.9557551746,1.4184373662718688E-10,-9.848189836521682,5197
5873459,221.439438,0.881809,0,1.5792225016632662,2.820852,-5.206101744861566,K23,noEBV,4.862486051060522,K23,u_r_SDSSDR17_noEBV,7.348896028721052,MZ/C20,20.81233,19.73358,19.46913,19.26931,19.29943,18.7791004180908,0.06131766,0.01325616,0.02013078,0.01700553,0.06250364,0.0232059992849827,SSSSSP,111111,,,,,,,,,,,,,-5.206101744861566,6.221545120983865E-6,4.862486051060522,72859.47726786976,8.539102055467942E-11,-10.068587795922088,5268
725638,336.450131,-29.745482,0,0.9162681102752686,0.5340572,,,,6.044408129903805,K23,g_r_PSDR2_noEBV,7.679832558278077,MZ/C20,,15.899347813141961,14.917809849693544,14.518006044462645,14.2933730090306,14.4384002685547,,9.707218996134839E-4,5.194566168715511E-4,4.1610883049018096E-4,5.992103008884812E-4,0.00123699998948723,MPPPPP,211111,,,,,,,,,,,,,,,6.044408129903805,1107664.2267232593,,,5279
4198601,140.750456,38.031993,0,1.1945080767019056,2.74688,,,,5.54022098914144,K23,u_r_SDSSDR17_noEBV,7.538661450355164,MZ/C20,20.00548,18.47613,17.54614,16.89484,16.44366,16.3596000671387,0.1066154,0.008806828,0.00639237,0.00536343,0.01088997,0.0041899997740984,SSSSSP,111111,,,,,,,,,,S?,,,,,5.54022098914144,346913.33111388434,,,5313
2329,9.741584,48.337431,0,0.6537,0.0244,,,,,,,,,,,,,,,,,,,,,MMMMMM,222222,,,,,,,,,,,,,,,,,,,5365
5872573,222.417699,0.524818,0,3.574427167926109,3.2043688,,,,5.533059038307407,K23,g_r_PSDR2_noEBV,7.536656112480795,MZ/C20,20.98081,19.27799,18.70695,18.13232,18.03105,17.8360004425049,0.08409318,0.01078339,0.009660188,0.008625593,0.01856447,0.0151800001040101,SSSSSP,000001,,,,,,,,,,,,,,,5.533059038307407,341239.2967869733,,,5419
5886365,214.524598,-1.50566,0,3.0012070525517958,3.094264,,,,6.330693717327147,K23,g_r_SDSSDR17_noEBV,7.759990451320838,MZ/C20,20.88144,20.14141,18.47357,17.94009,17.434,17.3717002868652,0.278313,0.02870338,0.01340034,0.009869026,0.02209092,0.0121820000931621,SSSSSP,111111,,,,,,,,,,,,,,,6.330693717327147,2141379.8776205154,,,5441
5952146,209.204929,7.340868,0,0.9995281284995206,2.7093248,,,,5.193145063689126,K23,g_r_PSDR2_noEBV,7.44148045432653,MZ/C20,24.63452,25.11436,17.27804,19.83281,22.82691,14.9699001312256,0.8742794,0.7921644,0.005318318,0.6152426,0.7975485,0.00132599996868521,SSSSSP,000001,,,,,,,,,,,,,,,5.193145063689126,156007.35138843447,,,5490
714788,359.709163,-30.637172,0,0.9162681102752686,0.5340572,,,,5.470300153590113,K23,u_r_SDSSDR17_noEBV_median,7.519083691347211,MZ/C20,,,,,,,,,,,,,MMMMMM,222222,,,,,,,,,,,,,,,5.470300153590113,295324.95984847576,,,5624
5890556,214.13226,-0.519071,0,1.6870362675651873,2.8416212,,,,5.448484556518624,K23,u_r_SDSSDR17_noEBV,7.512975344738423,MZ/C20,20.06734,18.75984,18.11765,17.86747,17.66752,17.7085990905762,0.05249408,0.008774146,0.007527343,0.00849059,0.0187475,0.0142459999769926,SSSSSP,111111,,,,,,,,,,,,,,,5.448484556518624,280856.54985996353,,,5651
5877893,220.765749,1.029872,0,2.5052833444526694,2.998954,,,,6.02466727663694,K23,g_r_SDSSDR17_noEBV,7.674305210567771,MZ/C20,22.23788,20.18744,18.81333,17.70249,17.07142,17.0060005187988,0.3974616,0.01881613,0.009957311,0.006734323,0.01187457,0.00785700045526028,SSSSSP,111111,,,,,,,,,,,,,,,6.02466727663694,1058442.51641188,,,5654
1408268,218.742833,12.367215,0,1.0941102561593974,2.7275333,,,,5.7561079416858005,K23,u_r_SDSSDR17_noEBV,7.599109449051558,MZ/C20,18.79587,17.56192,16.54346,16.167,16.09903,15.5706996917725,0.05871956,0.006235897,0.004494333,0.004415921,0.008249844,0.00621599983423948,SSSSSP,111111,,,,,,,,,,S?,,,,,5.7561079416858005,570306.0013245579,,,5744
5875364,222.419931,-1.92527,0,2.86532185855722,3.0680895,-4.847908245949114,K23,noEBV,5.8200828954467605,K23,g_r_SDSSDR17_noEBV,7.617022286327958,MZ/C20,22.18588,19.70228,18.67451,18.16554,17.76581,17.9148998260498,0.3074163,0.01896089,0.01141276,0.01014047,0.02688776,0.0162439998239279,SSSSSP,111111,,,,,,,,,,,,,-4.847908245949114,1.41935735978669E-5,5.8200828954467605,660819.569126085,2.1478742853571203E-11,-10.667991141395873,5766
