1.treedepth__,2.treedepth__,3.treedepth__,4.treedepth__,5.treedepth__,6.treedepth__,1.divergent__,2.divergent__,3.divergent__,4.divergent__,5.divergent__,6.divergent__,1.energy__,2.energy__,3.energy__,4.energy__,5.energy__,6.energy__,1.accept_stat__,2.accept_stat__,3.accept_stat__,4.accept_stat__,5.accept_stat__,6.accept_stat__,1.stepsize__,2.stepsize__,3.stepsize__,4.stepsize__,5.stepsize__,6.stepsize__,1.n_leapfrog__,2.n_leapfrog__,3.n_leapfrog__,4.n_leapfrog__,5.n_leapfrog__,6.n_leapfrog__
7,7,7,7,7,7,0,0,0,0,0,0,5721.24,5915.7,5798.61,5841.29,5702.39,5883.18,0.67885,0.60318,0.516064,0.892799,0.904153,0.828423,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5763.48,5806.4,5695.92,5884.56,5782.71,5822.86,0.922809,0.935637,0.59276,0.7892,0.683798,0.859476,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5814.42,5777.76,5721.37,5841.37,5743.45,5850.99,0.663252,0.995616,0.850313,0.74904,0.788785,0.557434,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5912.27,5699.18,5726.26,5723.4,5668.22,5769.41,0.696734,0.955714,0.923736,0.995224,0.897765,0.854878,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5964.27,5761.67,5674.79,5825,5744.82,5786.84,0.99798,0.609487,0.924132,0.681947,0.697509,0.758395,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
8,7,7,7,7,7,0,0,0,0,0,0,5820.47,5772.72,5680.45,5782.58,5757.1,5843.82,0.799654,0.980528,0.902823,0.749273,0.370775,0.620803,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,255,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5773.62,5853.82,5741.14,5775.24,5722.63,5760.55,0.998745,0.758157,0.763673,0.917214,0.791612,0.85111,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5695.31,5806.35,5641.6,5693.04,5716.63,5762.87,0.58687,0.640341,0.879536,0.636337,0.754594,0.974747,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5662.1,5836.31,5671.5,5759.84,5790.46,5762.84,0.900641,0.809139,0.765343,0.546627,0.939738,0.696971,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5748.26,5827.96,5696.94,5728.28,5907.79,5818.53,0.728798,0.94531,0.779319,0.758875,0.825255,0.959338,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5799.7,5827.53,5731.17,5875.25,5906.99,5788.36,0.951563,0.771044,0.854024,0.497559,0.960877,0.872303,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5828.49,5711.19,5765.32,5957.7,5746.49,5767.69,0.932135,0.997004,0.97662,0.917707,0.782211,0.839021,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5854.56,5707.01,5781.82,5778.85,5797.12,5754.22,0.963171,0.866082,0.905518,0.937535,0.977087,0.748031,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5805.11,5859.73,5837.39,5664.72,5774.22,5852.67,0.899084,0.977436,0.99346,0.770311,0.751906,0.722757,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5776.3,5797.76,6014.61,5705.82,5741.22,5835.39,0.953328,0.981328,0.651573,0.857002,0.947333,0.963458,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5736.7,5843.43,5924.87,5705.01,5815.39,5810.58,0.87237,0.966265,0.943692,0.859665,0.876243,0.950009,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,255,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5790.29,5744.24,5892.62,5774.21,5880.82,5833.9,0.908197,0.85158,0.693883,0.782473,0.814501,0.885537,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5798.93,5716.79,5834.7,5840.19,5863.84,5854.76,0.984886,0.716117,0.791341,0.973376,0.578738,0.90945,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5790.31,5766.42,5803.44,5788,5783.24,5862.64,0.874748,0.901944,0.742842,0.972344,0.902653,0.937775,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5791.87,5761,5804.15,5763.4,5734.45,5809.86,0.87137,0.803683,0.926501,0.756218,0.963817,0.958998,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5749.74,5738.26,5770.27,5661.11,5706.46,5892.17,0.768106,0.853598,0.709637,0.976591,0.973527,0.834682,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
8,7,7,7,7,7,0,0,0,0,0,0,5767.16,5852.94,5848.6,5604.69,5839.04,5916.59,0.92423,0.993966,0.735652,0.545697,0.785998,0.618972,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,383,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5756.77,5727.85,5836.66,5766.33,5907.51,5898.23,0.89596,0.744604,0.677479,0.654502,0.941062,0.931453,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5694.21,5758.77,5870.01,5757.96,5990.45,5933.28,0.957508,0.543209,0.688138,0.915369,0.828117,0.962576,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5792.52,5783.78,5776.33,5842.91,5998.62,5818.45,0.927641,0.797171,0.483645,0.556176,0.878315,0.925996,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5858.34,5737.97,5752.98,5676.17,5871.54,5861.69,0.850088,0.899623,0.950537,0.728547,0.80711,0.910787,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5846.98,5725.96,5694.05,5723.92,5849.47,5881.18,0.995641,0.85787,0.875896,0.715039,0.904762,0.56829,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5796.91,5801.4,5761.35,5785.72,5916.4,5746.26,0.987976,0.979872,0.826211,0.858279,0.980255,0.617489,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5793.26,5814.37,5725.9,5873.62,5872.73,5742.75,0.962656,0.667283,0.89513,0.982689,0.612282,0.96883,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5715.45,5727.65,5781.54,5906.59,5836.41,5770.61,0.83318,0.992007,0.761423,0.65445,0.667605,0.771814,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5797.75,5737.25,5716.23,5741.68,5793.7,5812.72,0.913278,0.844141,0.961021,0.945606,0.703988,0.805069,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5779.04,5821.61,5804.62,5692.97,5791.73,5820.51,0.956824,0.818323,0.670103,0.79834,0.582781,0.848749,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
7,7,7,7,7,7,0,0,0,0,0,0,5709.1,5961.03,5815.6,5735.07,5764.73,5771.51,0.968355,0.95076,0.946707,0.795697,0.950402,0.938382,0.0270326,0.0284356,0.0302422,0.0306469,0.0300209,0.0310017,127,127,127,127,127,127
