1.treedepth__,2.treedepth__,3.treedepth__,4.treedepth__,5.treedepth__,6.treedepth__,1.divergent__,2.divergent__,3.divergent__,4.divergent__,5.divergent__,6.divergent__,1.energy__,2.energy__,3.energy__,4.energy__,5.energy__,6.energy__,1.accept_stat__,2.accept_stat__,3.accept_stat__,4.accept_stat__,5.accept_stat__,6.accept_stat__,1.stepsize__,2.stepsize__,3.stepsize__,4.stepsize__,5.stepsize__,6.stepsize__,1.n_leapfrog__,2.n_leapfrog__,3.n_leapfrog__,4.n_leapfrog__,5.n_leapfrog__,6.n_leapfrog__
5,5,5,5,5,5,0,0,0,0,0,0,20952.7,20881.7,20826.5,20820.5,20959.2,20869.5,0.993272,0.658155,0.984651,0.778129,0.884924,0.997472,0.154172,0.150358,0.137227,0.143666,0.135446,0.142633,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,20894.3,20876,20847.1,20813.8,21041.2,20888.2,0.970254,0.954305,0.681565,0.725142,0.773219,0.966368,0.154172,0.150358,0.137227,0.143666,0.135446,0.142633,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,20961.9,20770.4,20830.8,20791.6,20911.7,20937.4,0.929467,0.839311,0.96506,1,0.974199,0.812644,0.154172,0.150358,0.137227,0.143666,0.135446,0.142633,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,20942.6,20714.1,20865.6,20864,20753.7,21009.3,0.911123,0.903966,0.76502,0.856733,1,0.804543,0.154172,0.150358,0.137227,0.143666,0.135446,0.142633,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,21005.1,20856.2,20831.7,20821.8,20680.3,20931.1,1,0.537375,1,0.967373,0.848866,0.879622,0.154172,0.150358,0.137227,0.143666,0.135446,0.142633,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,21059.7,20626.7,20801.8,20782.4,20705,20928.5,0.771222,0.967447,0.965285,0.665252,0.926485,0.938901,0.154172,0.150358,0.137227,0.143666,0.135446,0.142633,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,20812.5,20644.5,20839.6,20715.8,20784.7,20808.1,0.989158,0.654405,0.892238,0.641905,0.558429,0.876446,0.154172,0.150358,0.137227,0.143666,0.135446,0.142633,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,20793.3,20679.4,20741.4,20793.2,20865.1,20914.5,0.772994,0.574411,0.955926,0.831024,0.566488,0.776656,0.154172,0.150358,0.137227,0.143666,0.135446,0.142633,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,20772.5,20699.5,20762.1,20802,20856.7,20867.9,0.786512,0.55405,0.766718,0.926367,0.711604,0.607976,0.154172,0.150358,0.137227,0.143666,0.135446,0.142633,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,20857.3,20629.5,20750.6,20837.1,20916.1,20857,0.694081,0.787472,0.705888,0.689263,0.989631,0.691941,0.154172,0.150358,0.137227,0.143666,0.135446,0.142633,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,20911.5,20777.5,20714.1,21014,20819.4,20886,0.811707,0.701852,0.754377,0.83873,1,0.837734,0.154172,0.150358,0.137227,0.143666,0.135446,0.142633,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,20961.9,20876.6,20793,20900.2,20722.3,20860.9,0.955602,0.759916,0.744096,0.913406,0.967909,0.987921,0.154172,0.150358,0.137227,0.143666,0.135446,0.142633,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,20857.3,20878.4,20890.3,20737,20723,20744.1,0.761822,0.906234,0.932861,0.878987,0.958265,0.791648,0.154172,0.150358,0.137227,0.143666,0.135446,0.142633,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,20894.4,20836.5,20970.9,20862.3,20754.6,20671.7,0.775057,0.741504,0.647162,0.760856,0.940958,1,0.154172,0.150358,0.137227,0.143666,0.135446,0.142633,31,31,31,31,31,31
